STOP_ID,STOP_FRISK_DATE,ISSUING_OFFICER_RANK,SUPERVISING_OFFICER_RANK,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_BORO_NAME
3146,04/06/2021,POM,(null),ROBBERY,Y,ROBBERY,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),CALM,27,MALE,BLACK,5.11,165,THN,BRO,BLK,BROOKLYN
3147,05/06/2021,DTS,(null),CPW,Y,CPW,Y,N,N,N,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,26,MALE,WHITE HISPANIC,5.7,155,THN,BRO,BRO,BROOKLYN
3148,04/06/2021,POM,(null),ROBBERY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,25,MALE,WHITE HISPANIC,6.1,180,MED,GRN,BLK,BROOKLYN
3149,06/06/2021,POM,(null),CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),COMPLIANT,(null),MALE,WHITE HISPANIC,6,170,MED,BRO,BLK,BRONX
3150,06/06/2021,POM,(null),ASSAULT,Y,ASSAULT,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM COMPLIANT,32,MALE,ASIAN / PACIFIC ISLANDER,5.7,230,HEA,BRO,BLK,BROOKLYN
3151,26/05/2021,POM,(null),CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),COMPLIANT CALM COMPLAINED OF PAIN IN ABDOMEN REGARDING A HERNIA,58,MALE,BLACK,5.1,120,THN,BRO,GRY,QUEENS
3152,06/06/2021,POM,(null),CPW,Y,CPW,N,Y,N,N,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),ANXIOUS,27,MALE,BLACK,6.2,160,THN,BRO,BLK,QUEENS
3153,05/06/2021,POM,(null),CPW,N,(null),Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),COMPLIANT,23,MALE,BLACK HISPANIC,5.9,200,MED,BRO,BLK,BRONX
3154,06/06/2021,POM,(null),OTHER,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),Y,(null),(null),UPSET,17,MALE,BLACK HISPANIC,5.3,115,THN,HAZ,BLK,MANHATTAN
3155,31/05/2021,POM,(null),CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS AND COMPLIANT,31,MALE,WHITE HISPANIC,5.7,200,HEA,BRO,BLK,BROOKLYN
3156,01/06/2021,POM,(null),CPW,N,(null),Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,21,MALE,BLACK,6,220,HEA,BRO,BLK,QUEENS
3157,29/05/2021,POM,(null),CPW,N,(null),Y,Y,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),Y,Y,(null),(null),27,MALE,BLACK,6,(null),THN,BRO,BLK,QUEENS
3158,04/06/2021,POM,(null),PETIT LARCENY,Y,PETIT LARCENY,Y,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),UPSET,48,MALE,BLACK,5.8,225,HEA,BRO,BLK,QUEENS
3159,05/06/2021,POM,(null),BURGLARY,Y,BURGLARY,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),IRATE,56,MALE,BLACK,6.2,180,THN,BRO,BLK,QUEENS
3160,07/06/2021,POM,(null),ASSAULT,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),MALE,BLACK,5.5,190,MED,BRO,BLK,BROOKLYN
3161,03/06/2021,POM,(null),BURGLARY,N,(null),N,N,(null),(null),N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,(null),MALE,ASIAN / PACIFIC ISLANDER,(null),(null),THN,BRO,BLK,BROOKLYN
3162,02/06/2021,POM,(null),GRAND LARCENY,Y,GRAND LARCENY,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),21,MALE,ASIAN / PACIFIC ISLANDER,5.7,150,THN,BRO,BLK,QUEENS
3163,02/06/2021,POM,(null),GRAND LARCENY,Y,GRAND LARCENY,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),N/A,29,(null),AMERICAN INDIAN/ALASKAN NATIVE,5.6,150,THN,BLK,BLK,QUEENS
3164,16/05/2021,POM,(null),MENACING,N,(null),N,N,N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,21,FEMALE,BLACK,5,100,THN,BRO,BLK,MANHATTAN
